year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2004,2004-10-14,8:45 am - 9:45 am,Andrew Pace (NCSU),Dis-Integrated Library Systems: Promise and Peril,"The Integrated Library System (ILS) as we have come to know it is finished. First loosely integrated, then more fully so, the ILS has finally arrived at a plateau of innovation, where ""state of the art"" is the best a library can hope for. Inevitably, the legacy technologies of the ILS are clashing with web innovations. The web creates opportunities, challenges, and expectations that are fueling changes in the ILS.

Librarians are dismantling systems, and creating new modules, out of frustration with the inflexible and non-extensible technology of their proprietary systems. Vendors are also creating standalone products both to harness newer technologies and capture or invent new market shares. In the newly dismantled library system, many expect that new modules will communicate with old ones, products from different vendors will work together, and a suite of existing standards will make distributed systems seem transparently whole. Today, interoperability in library automation is more myth than reality, and some wonder if we may lose more than we gain in this newly dismantled world.",keynote,,http://libconference.acadiau.ca/access2004/presentations/pace.ppt,,
2004,2004-10-14,9:45 am - 10:30 am,Roy Tennant (California Digital Library),"Bitter Harvest: Metadata Harvesting Issues,
Problems and Possible Solutions","Metadata harvesting using the Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH) is still in its infancy. Although there are many institutions that are exposing metadata for digital collections (data providers) using this protocol, there are only a small number of service providers (those who aggregate metadata for searching). But the experiences of pioneer service providers is exposing a number of issues and problems with metadata harvesting that will require concerted effort by both data and service providers to solve. These issues, problems, and possible solutions will be identified and explored by using real world examples.",talk,,http://libconference.acadiau.ca/access2004/presentations/tennant1.ppt,,
2004,2004-10-14,11:00 am - 11:45 am,"Slavko Manojlovich (Memorial University, St. John's, NF)","Resource Sharing Initiatives in Atlantic Canada:
The Standards Dilemma","It would be difficult to imagine building any type of computer-based service for libraries without the availability of standards like Z39.50, NCIP, OpenURL, MARC, etc.. Yet, we constantly stumble/trip in our implementations because of problems associated with the standards, or more importantly, our interpretation of the standards. The session will cover some standards related gotchas encountered in the development of the Atlantic Scholarly Information Network’s Resource Discovery and Management Service (ARDMS).",talk,,http://libconference.acadiau.ca/access2004/presentations/gotchas.ppt,,
2004,2004-10-14,11:45 am - 12:30 pm,Clare MacKeigan (Relais International),Document Delivery Standards,"Because of the very nature of Interlibrary Loan and Document Delivery they have relied upon and embraced standards from their inception. The recent push to automate and more closely link and integrate these with other library services has further emphasized the need for and importance of standards, e.g., ISO ILL, Z39.50, OpenURL and NCIP. However, the adoption and implementation of standards such as these can be a mixed blessing for all parties involved. This session will address Document Delivery Standards – ‘the real world’.",talk,,,,
2004,2004-10-14,1:30 pm - 2:15 pm,Jenny Walker (Ex Libris),"Collaborative Efforts towards Effective Metasearch:
the NISO Metasearch Initiative","The key stakeholders in the metasearch arena – libraries, content providers and metasearch service providers – are actively collaborating through the NISO Metasearch Initiative towards a set of standards and best practices to deliver effective metasearch services to researchers and other library users. The scope of the Metasearch Initiative reaches beyond the search and retrieve process itself to encompass issues such as Collection Description and Access Management that are also key to successful metasearch. This session will discuss the key issues currently being addressed by the Metasearch committee and will report on the current status. This session will also touch on other metasearch related areas such as Statistics and Metasearch Identification; and will report briefly on the continuing deployment of metasearch tools in libraries around the world.

",talk,,,,
2004,2004-10-14,2:15 pm - 3:00 pm,"William E. Moen (Universtiy of North Texas, Denton, TX)","A Web Services Approach for Search
and Retrieve:The Next Generation Z39.50","Building on the experience gained with the Z39.50 information retrieval protocol standard, a group of Z39.50 developers coordinated by the Z39.50 Maintenance Agency worked for the past two years to move the concepts of that protocol into a web services application. Their efforts resulted in the recently released specifications for the Search/Retrieve Web Service (SRW). SRW is an XML oriented protocol designed to be a low barrier to entry solution to performing searches and other information retrieval operations across the Internet. This presentation will provide an introduction and overview to this exciting new approach for interoperable information retrieval.

",talk,,http://www.unt.edu/wmoen/presentations/Access2004_SRW_Moen.ppt,,
2004,2004-10-14,3:30 pm - 4:15 pm,"Kevin Stranack (Simon Fraser University, Burnaby, BC)","From topic to text': The evolution of reSearcher,
an integrated open source software project.","Created to fill the need for ""topic to text"" library research software, reSearcher consists of a developing meta-searching component (dbWiz), a fully-functional OpenURL link resolver (Godot/CUFTS), and a web-based bibliographic management tool (Citation Manager). This presentation will provide an update on the project, focusing on the maturity of the link resolver and the benefits of the open source model.

",talk,,http://libconference.acadiau.ca/access2004/presentations/stranack.ppt,,
2004,2004-10-14,4:15 pm - 5:00 pm,Diane Vizine-Goetz (OCLC),ePrints UK,"The ePrints UK project is developing a series of national, discipline-focused services through which the higher and further education community can access the collective output of e-print papers available from compliant Open Archive repositories, particularly those provided by UK universities and colleges.

Discipline-focused views of available eprints will be provided through the use of an automatic subject-classification Web service offered by OCLC. The classification service will be based on the 22nd edition of the Dewey Decimal Classification (DDC 22) published in 2003. More information about the project, and further technical details can be found at http://www.rdn.ac.uk/projects/eprints-uk/ and http://www.oclc.org/research/projects/mswitch/epuk.htm.

R",talk,,,,
2004,2004-10-15,8:45 am - 9:45 am,David Seaman (Digital Library Federation),Mass and Malleability: the Collaboration Imperative,"Libraries exhibit a deep-seated belief in the imperative nature of collaboration -- of librarians and our institutions' faculty and students; of librarians one with another across institutions; of libraries with related industries; and of collaborative digital library objects themselves, working together across collections in machine-aided working spaces.

Many of our current delights, possibilities, and frustrations are bound up with collaborative failures and successes; often, our sense of what we could do is thwarted by content that fails us in our desire to discover it quickly, bend it to our purposes, and engage actively with it. Much more content, and much richer, domain-sensitive, finding systems are vital, as is the ability to enrich, re-shape, re-package, annotate, and contextualize the data once we have found it. This presentation will chart the course of current developments in digital library best practices, policies, and technical developments as we craft the libraries, users, and digital content we want to achieve to move us beyond the buzz and hype.",talk,,http://libconference.acadiau.ca/access2004/presentations/seaman.ppt,,
2004,2004-10-15,9:45 am - 10:30 am,Eric Stackhouse (Pictou-Antigonish Regional Library) | Brian Bell (Oakville Public Library),"Digital Canada: Toward a Common
Information Infrastructure for Canada","The Canadian Initiative on Digital Libraries is promoting a national vision for a cohesive approach to digital collections for and about Canada and Canadians. Libraries and their knowledge institution partners can contribute indexing and digital content to a collectively designed national system that maximizes coordinated efforts toward content building (indexing, scanning, etc.). This session will delve into the issues and benefits of such a national infrastructure and how it will minimize: the need for expensive systems, duplication of effort and software development experience.

Brian will speak first 20 min or so on the national vision and efforts thus far to build a cooperative digital collections initiative. This will be a broad based discussion highlighting the positive elements of such a course, including standards, communication of expertise, software sharing, support in identifying funding, etc. -

Eric will speak for 20 minutes or so on the Nova Scotia and local experience, providing on the ground examples of what Brian outlined. Highlighting the multi-sector cooperative venture of the NSDCI, how it came into being, some of the early plans and where we are heading now. Will also highlight the community side of the venture that has allowed for strategic partnerships with non-traditional agencies that can provide resources. -

Then time for questions.",talk,,,,
