year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2017,2017-09-28,9:30 - 10:30 am,"Kimberly Christen (Washington State University, Washington, DC)",The trouble with access,"In her keynote, Dr. Christen will examine library and archives practices related to access in the context Indigenous sovereignty, reconciliation, and on-going struggles of decolonization. VIDEO |",keynote,,,https://youtu.be/4kXu2HZdnEo,
2017,2017-09-28,11:00 - 11:20 am,Dale Storie (Saskatchewan Information & Library Services Consortium) | Scott Murray (Saskatchewan Information & Library Services Consortium),Visualizing Province-wide Public Library Transaction Data with Elastic Stack,"To make our public library consortium’s statistical data more engaging, we used Elastic Stack (Logstash, Elastic Search and Kibana) to index and visualize transactional data from our ILS. Now we can view real-time activity for over 300 libraries using graphs and heatmaps, with future potential for aggregating more data sources. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_MkotR1pPdzZjQXROZXlIb0I5X2xYSkl4MTFZ,https://youtu.be/D7NQXJUtVNE,
2017,2017-09-28,11:20 - 11:40 am,Jonathon Hodge (Toronto Public Library),Advocating for digital privacy: the centrality of public libraries in a uniquely 21st century struggle,"Public libraries have always been defenders of intellectual freedom. In this age of mass surveillance, that role has become more challenging. It is a challenge public libraries can meet through education and advocacy on digital privacy tools and practices. Join Toronto Public Library staff to learn from our experience. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_Q0FLMk0xdWVSQXpYZnZ3UXN3dUQ2NUNLQUl3,https://youtu.be/iHylM0Ua7NM,
2017,2017-09-28,11:40 - 12:00,"Hannah Rainey (North Carolina State University, Raleigh, NC) | Emily Lynema (North Carolina State University, Raleigh, NC)",Don’t be so sensitive - a data security journey,"The increase in systems and applications that automatically collect and store potentially sensitive data elevates the necessity for data awareness and security within academic libraries. This talk will cover the process of conducting an internal data security audit, lessons learned, and considerations for ensuring security in the future. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_YTk0OWtkM0xGdmxUeThMWXg0ajVrNEZUY3dB,https://youtu.be/8QOjOrQJGic,
2017,2017-09-28,1:30 - 1:50 pm,John Durno (University of Victoria),Excavating the 80s: Strategies for restoring digital artifacts from the first era of personal computing,"This session discusses the relative merits of format migration, emulation and hardware preservation as strategies for recovering digital content from the 1980s, with case studies taken from the University of Victoria Archives/Special Collections. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_aG5JVnZKS3dFODRkbGhMTVJOTGlGLTNSS29v,https://youtu.be/JZS7AFzinpQ,
2017,2017-09-28,1:50 - 2:10 pm,Dean Seeman (University of Victoria) | Lisa Goddard (University of Victoria),"Opening the DAMS : Open systems, open data, and open collaboration with Samvera at UVic","UVic Library is migrating to the open source Hydra/Fedora DAMS (Digital Asset Management System). This session will discuss the decision to move to an open source DAMS, how this will support collaboration with digital humanities projects, and how Hydra has facilitated the production of linked open data at UVic. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_QXM5ZkZaQXdjRmM,https://youtu.be/6YbBxUzhsyo,
2017,2017-09-28,2:10 - 2:30 pm,"Weiwei Shi (University of Alberta, Edmonton, AB) | Shane Murnaghan (University of Alberta, Edmonton, AB) | Matt Barnett (University of Alberta, Edmonton, AB)","The way leads to PushMi-Pullyu, a lightweight approach to managing content flow for repository preservation at UofA Libraries","This presentation outlines the design and development of a tool to create lightweight preservation packages (Archival Information Packages) in response to user actions in our Hydra-based repository application at University of Alberta Libraries. We will talk about the design decisions, technical challenges, and plans to use the tool to fulfill our institutional preservation commitments. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_TWs0Um1NMlN1VU1iUzRVcUdUQTQxeUpYVHBR,https://youtu.be/JQiHOKsCE_k,
2017,2017-09-28,2:30 - 2:50 pm,Danielle Robichaud (University of Waterloo),"""No, we can't just script it.""","How are print finding aids migrated from binders in reading rooms to web-based descriptive platforms? And why is it taking so long? Paying special attention to format, description and discoverability challenges presented in a “let’s digitize it!” world, this presentation will explore the relationship between technology and archival description. VIDEO |",talk,,,https://youtu.be/SHoua98ZMfY,
2017,2017-09-28,3:30 - 3:50 pm,"Emily Hopkins (University of Alberta, Edmonton, & McGill University, Montreal)",The SIMSSA Project: Search as access to digital music libraries,"The Single Interface for Music Score Searching and Analysis (https://simssa.ca), is a SSHRC Partnership Grant developing open-source software for optical music recognition, music encoding, and analysis, making digitized scores searchable and freely available online. This presentation will survey our recent progress, emphasizing the implications for music search and digital libraries. VIDEO |",talk,,,https://youtu.be/ys7Os6Lzodo,
2017,2017-09-28,3:50 - 4:10 pm,Sean Luyk (University of Alberta Libraries) | Umar Qasim (University of Alberta Libraries) | Weiwei Shi (University of Alberta Libraries),Supporting Media-Intensive Digital Scholarship: The Development of a Streaming Media Repository at the University of Alberta Libraries,"This presentation outlines the development of a media digitization, streaming, preservation and hosting service—ERA Audio + Video—at the University of Alberta Libraries. We discuss repository platform selection, technical development, issues of service development, and case studies of some potential uses of a streaming media repository in an academic library context. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_N3MwdTl4dGhueWZ6cktQbWZST1ZuYi14SDM0,https://youtu.be/NMSiPwvSCW0,
2017,2017-09-28,4:10 - 4:30 pm,Michael Courtney (Indiana University Bloomington) | Angela Courtney (Indiana University Bloomington),The Academic Library Commons: Reimaging Collaborative Learning Spaces to Support the Scholarly Journey from Curiosity to Discovery to Publication,"The Indiana University Libraries began a physical transformation to provide students and faculty with easy access to experts and technology for every stage of their scholarship. This vision has sought to fulfill user needs, employing the design and improvement of library technologies, spaces, and services for the campus community. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_TGdHQ2dLQS1pajBod25yN1FfRHpySVF1eTN3,https://youtu.be/WZDQHP1NcQg,
2017,2017-09-29,9:30 - 9:50 am,"Ruby Warren (University of Manitoba, Winnipeg, MB)",The UX of Online Help,"After creating over 55 video tutorials tailored to individual user profiles, the Libraries embarked on a UX study of the finished product. This session will address the results of a multi-pronged user experience study of the University of Manitoba Libraries web help initiative, including usability tests, surveys, and usage data. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_ektfd1RnUFpyYTRXMVQzcml4Ny1QVlhRTmRJ,https://youtu.be/6IAxIWLHIuI,
2017,2017-09-29,9:50 - 10:10 am,"Rob Warren (Carleton University, Ottawa)",Can Link: a linked data project for Canadian theses  / CanaLien: un projet de données liées pour les thèses canadiennes,The Canadian Linked Data Initiative (CLDI) is a growing collaboration among libraries and archives across Canada committed to a linked data project focused on theses and dissertations. This talk will demonstrate the results and uses of the resulting data set and platform. VIDEO | SLIDES,talk,,https://drive.google.com/file/d/0Bzq2hbeCFakYUHRkOGVpTjJ1MVU/view?usp=sharing,https://youtu.be/W4B5FQ511m4,
2017,2017-09-29,10:10 - 10:30 am,"Shelley Gullikson (Carleton University, Ottawa) | Emma Cross (Carleton University, Ottawa)",User Experience From a Technical Services Point of View,"This session reports on user research by Emma Cross & Shelley Gullikson at Carleton University. We observed how students search online when conducting academic research, paying attention to issues relevant to technical services. This research fills a gap in the literature, which hasn’t analyzed UX from a technical services perspective. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_MllVOXNsQ0s4WUFZU2ZoVTVKUF9LMGRYMHpz,https://youtu.be/bap1zrcx-ZU,
2017,2017-09-29,11:00-11:06,"John Yobb ( University of Saskatchewan, Saskatoon, SK)",Raspberry PI Integrated In/Out Board,,lightning,,,,
2017,2017-09-29,11:06-11:12,"Krista Godfrey (Memorial University of Newfoundland, St. John's, NF)",Making Breaking Up Easier,,lightning,,,,
2017,2017-09-29,11:12-11:18,Andrew Nagy,FOLIO Innovation Challenge Grant,,lightning,,,,
2017,2017-09-29,11:18 - 11:24,Amy Paterson ,Provide Childcare at Conferences!,,lightning,,,,
2017,2017-09-29,11:24 - 11:30,Megan Stecyk,Digital Citizenship and Curricula,,lightning,,,,
2017,2017-09-29,11:30 - 11:36,Dale Askey,Leadership and Participation,,lightning,,,,
2017,2017-09-29,11:36 - 11:42,Peter Binkley,How to make a union catalogue with microfilm and file cards (Reprise of Access 1938),,lightning,,,,
2017,2017-09-29,11:42 - 11:48,Sara Allain,Acceptance Tests,,lightning,,,,
2017,2017-09-29,11:48-11:54,Cody Fullerton,Implementing Arduino Loans @ UManitoba,,lightning,,,,
2017,2017-09-29,11:54-12:00,Ryan Regier,Open Access and Cost Per-use,,lightning,,,,
2017,2017-09-29,1:35 - 1:55 pm,"Peter Binkley (University of Alberta, Edmonton, AB)",IIIF you can dream—and not make dreams your master: IIIF in the Real World,"The International Image Interoperability Framework (http://iiif.io) defines a set of APIs for the presentation of images, multi-image works, and other media in GLAM online applications. This presentation will provide a walk-through of the IIIF APIs and show the sorts of uses which IIIF is currently serving. VIDEO |",talk,,,https://youtu.be/V1wyZ8kG4yc,
2017,2017-09-29,1:55 - 2:15 pm,Sascha Adler (Canadiana),Cantaloupes and Canvases: Adopting IIIF Specifications,"Canadiana is adopting IIIF (International Image Interoperability Framework) specifications for access to content and metadata for our image-based resources. This presentation provides an overview of IIIF and our rationale for adopting the framework's specifications, and demonstrates our progress in connecting our data to IIIF APIs. VIDEO | SLIDES",talk,,https://docs.google.com/presentation/d/1k2dbRH2gVc0Tktf5lZ_mPJXdOpdYrSKRqlA8TIfz4qI,https://youtu.be/6jL7pn5N9h4,
2017,2017-09-29,2:15 - 2:15,"Jason Zou (Lakehead University, Thunder Bay, ON)",An Open Source Approach to Proactively Manage EZproxy,"It is a daunting task to manage EZProxy without any additional tools. Especially, when various vendors notify you that they have to cut off your institutions' access, because of massive or illegal downloading. Where to start? The presenter will share his experiences of using an open source approach to proactively monitor and manage EZproxy. SLIDES","talk, cancelled",,https://drive.google.com/open?id=0B8b5FXYBN_3_Z2VhMUc1S3lWUl9jTnVYa3kyMTZZNGlnMG1R,,
2017,2017-09-29,2:15 - 2:35 pm,"Darryl Friesen (University of Saskatchewan, Saskatoon, SK)",Kenny: A Web Based Tool for EZproxy Authentication Management,"Kenny is a web-based login management tool to control user and IP address filtering for EZproxy. It has allowed our library to shift the management of user accounts away from system administrators to support staff, providing them tools to easily block, unblock, and view account history of compromised user accounts. VIDEO | SLIDES",talk,,https://drive.google.com/open?id=0B8b5FXYBN_3_aGxDM0p3NUg5eFU2U0NqTVYxemRUMkhUWjhZ,https://youtu.be/erTKqSltPLw,
2017,2017-09-29,3:30 - 4:30 pm,Nora Young (CBC),Information and Meaning in the Data Boom,"In the last 20 years, computers have gone from desktop behemoths (remember those giant CRT monitors?) to powerful devices we carry in our pockets, on our wrists, and even in our glasses. Increasingly, the boundaries between the physical world around us, and the digital world of our devices, are blurring, thanks to AR, VR, and wearables. Beyond what we carry with us, computing is spreading out into the world around us in the form of the Internet of Things. What were formerly separate “virtual” and “IRL” experiences, are now braided together. We are now fully in the Age of the Data Boom. From an era when data and information were top down, scarce, and tightly curated, we now find ourselves in a world where data and information are bottom-up, dynamic, chaotic, and as freely available as turning on a water from a faucet. Much of that data is from us, about us. It can power vital tools, from machine learning to building smarter cities. But the Data Boom comes with security concerns baked in: witness the recent Equifax data breach of sensitive personal information, or the news that hackers broke into a casino’s network through its “smart” fish tank! Nora Young talks about the challenges and opportunities for libraries in this exciting and often chaotic world.","keynote, binkley, cancelled",,,,
